mapping,frequency,inclusive,exclusive
CD4<-!MYB,0.3939393939393939,,
CD4<-IL23/IL23R/JAK2/TYK2+!MYB,0.12121212121212122,IL23/IL23R/JAK2/TYK2<-JAK2,
CD4<-!C21orf33+!MYB,0.42424242424242425,,
MYB<-E2F1,0.5151515151515151,,
IL23/IL23R/JAK2/TYK2<-JAK2,0.12121212121212122,CD4<-IL23/IL23R/JAK2/TYK2+!MYB,
E2F4/DP2/GCN5<-KAT2A,0.18181818181818182,,
HEY1<-!RBPJ,0.36363636363636365,,
MYL1<-!E2F1/DP,0.030303030303030304,E2F1/DP<-E2F1,
E2F1<-E2F4/DP2/GCN5,0.15151515151515152,,
E2F1<-!C21orf33,0.42424242424242425,,
E2F1<-!C21orf33+E2F4/DP2/GCN5,0.030303030303030304,,
E2F1/DP<-E2F1,0.030303030303030304,MYL1<-!E2F1/DP,
C21orf33<-!RBPJ,0.24242424242424243,,
C21orf33<-RBPJ,0.24242424242424243,,
